	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	Mary used her workstation.	Used(mary) & Workstation(mary)	Mary is female.	Female(mary)	e	False	False
1	Every student used her workstation. ## Mary is a student.	exists x. (Student(x) & Used(x) & Workstation(x)) ## Student(mary)	Mary used her workstation.	Used(mary) & Workstation(mary)	e	False	False
2	Every student used her workstation. ## Mary is a student.	exists x. (Student(x) & Used(x) & Workstation(x)) ## Student(mary)	Mary has a workstation.	exists x. (Workstation(x) & OwnedBy(x, Mary))	e	False	False
3	No student used her workstation. ## Mary is a student.	not exists x. (Student(x) & Workstation(x)) ## Student(mary)	Mary used a workstation.	exists x. (Workstation(x) & UsedBy(x, Mary))	c	False	False
4	Smith delivered a report to ITEL. ## She also delivered them an invoice. ## And she delivered them a project proposal.	DeliveredReport(smith, itel) ## exists x.exists y. (Woman(x) & Delivered(x, y) & Invoice(y) & DeliveredInvoice(x, y)) ## exists x.exists y. (Woman(x) & Project(y) & DeliveredProposal(x, y) & ProjectManager(x, y))	Smith delivered a report, an invoice and a project proposal to ITEL.	exists x.exists y.exists z. (Smith(x) & Report(y) & Invoice(z) & Project(y) & Proposal(y) & DeliveredTo(x, y, z, ITEL))	e	False	False
5	Smith took a machine on Tuesday, and Jones took a machine on Wednesday. ## They put them in the lobby.	exists x.exists y. (Smith(x) & Machine(y) & TookOnTuesday(x, y)) & (Jones(x) & Machine(y) & TookOnWednesday(x, y)) ## exists x.exists y. (They(x) & PutIn(x, y) & In(y) & Lobby(y))	Smith and Jones put two machines in the lobby.	exists x.exists y. (Smith(x) & Jones(y) & (PutMachine(x, lobby) & PutMachine(y, lobby)))	e	False	False
6	Each department has a dedicated line. ## The sales department rents it from BT.	exists x. (Department(x) & HasDedicatedLine(x)) ## RentsFrom(SalesDepartment, BT)	The sales department rents a line from BT.	RentLine(salesDepartment, BT)	e	False	False
7	GFI owns several computers. ## ITEL maintains them.	exists x. (GFI(x) & Owns(x) & Computers(x)) ## exists x. (ITEL(x) & Maintains(x))	ITEL maintains all the computers that GFI owns.	exists x.exists y. (ITEL(x) & GFI(y) & MaintainsComputers(x, y))	e	False	False
8	Every customer who owns a computer has a service contract for it. ## MFI is a customer that owns exactly one computer.	exists x. (Customer(x) & Owns(x) & Computer(x) & HasServiceContract(x)) ## exists x. (MFI(x) & OwnsExactlyOneComputer(x))	MFI has a service contract for all its computers.	exists x. (MFI(x) & Computer(x) & HasServiceContract(x))	e	False	False
9	Every customer who owns a computer has a service contract for it. ## MFI is a customer that owns several computers.	exists x. (Customer(x) & Owns(x) & Computer(x) & HasServiceContract(x)) ## exists x. (MFI(x) & OwnsSeveralComputers(x))	MFI has a service contract for all its computers.	exists x. (MFI(x) & Computer(x) & HasServiceContract(x))	e	False	False
10	Every executive who had a laptop computer brought it to take notes at the meeting. ## Smith is a executive who owns five different laptop computers.	exists x. (Executive(x) & HadLaptopComputer(x) & BroughtToTakeNotesAtMeeting(x)) ## Executive(smith) & OwnsLaptopComputers(smith, 5)	Smith took five laptop computers to the meeting.	exists x. (Smith(x) & Took(x, y) & Laptop(y) & Computer(y) & NumberOf(y, 5) & At(y) & Meeting(y))	n	False	False
11	A company director awarded himself a large payrise.	exists x. (Company(x) & Director(x) & AwardedLargePayrise(x) & DirectorAwardsSelf(x))	A company director has awarded and been awarded a payrise.	exists x. (Company(x) & Director(x) & (Awarded(x) & Payrise(x) & not Awarded(x) & Payrise(x)))	e	False	True
