	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	exception
0	A group of kids is playing in a yard and an old man is standing in the background	exists x. exists y. (Kid(x) & Yard(y) & PlayingIn(x, y) & OldMan(z) & StandingInBackground(z, y))			A group of boys in a yard is playing and a man is standing in the background	all x.all y. (GroupOfBoys(x) & Yard(y) -> Playing(x, y)) & all z. (Man(z) -> exists w. (Yard(w) & StandingInBackground(z, w)))	n	[WinError 193] %1 is not a valid Win32 application
1	A group of children is playing in the house and there is no man standing in the background	all x. all y. (GroupOfChildren(x) & House(y) -> exists z. (Child(z) & PlayingIn(z, y))) & not exists w. (Man(w) & StandingInBackground(w))			A group of kids is playing in a yard and an old man is standing in the background	exists x. exists y. (Kid(x) & Yard(y) & PlayingIn(x, y) & OldMan(z) & StandingInBackground(z, y))	n	[WinError 193] %1 is not a valid Win32 application
2	The young boys are playing outdoors and the man is smiling nearby	all x.all y. (YoungBoy(x) & Outdoors(y) -> Plays(x, y)) & (Man(z) & Smiling(z))			The kids are playing outdoors near a man with a smile	all x.all y.all z. (Kid(x) & Outdoors(y) & Man(z) & Smile(z) -> PlayingNear(x, y, z))	e	[WinError 193] %1 is not a valid Win32 application
3	The kids are playing outdoors near a man with a smile	all x.all y.all z. (Kid(x) & Outdoors(y) & Man(z) & Smile(z) -> PlayingNear(x, y, z))			A group of kids is playing in a yard and an old man is standing in the background	exists x. exists y. (Kid(x) & Yard(y) & PlayingIn(x, y) & OldMan(z) & StandingInBackground(z, y))	n	[WinError 193] %1 is not a valid Win32 application
4	The young boys are playing outdoors and the man is smiling nearby	all x.all y. (YoungBoy(x) & Outdoors(y) -> Plays(x, y)) & (Man(z) & Smiling(z))			A group of kids is playing in a yard and an old man is standing in the background	exists x. exists y. (Kid(x) & Yard(y) & PlayingIn(x, y) & OldMan(z) & StandingInBackground(z, y))	n	[WinError 193] %1 is not a valid Win32 application
5	Two dogs are fighting	exists x. exists y. (Dog(x) & Dog(y) & Fighting(x, y))			Two dogs are wrestling and hugging	exists x. exists y. (Dog(x) & Dog(y) & Wrestling(x, y) & Hugging(x, y))	n	[WinError 193] %1 is not a valid Win32 application
6	A brown dog is attacking another animal in front of the man in pants	all x.all y.all z. (BrownDog(x) & Animal(y) & ManInPants(z) -> AttacksInFrontOf(x, y, z))			Two dogs are fighting	exists x. exists y. (Dog(x) & Dog(y) & Fighting(x, y))	n	[WinError 193] %1 is not a valid Win32 application
7	A brown dog is attacking another animal in front of the man in pants	all x.all y.all z. (BrownDog(x) & Animal(y) & ManInPants(z) -> AttacksInFrontOf(x, y, z))			Two dogs are wrestling and hugging	exists x. exists y. (Dog(x) & Dog(y) & Wrestling(x, y) & Hugging(x, y))	n	[WinError 193] %1 is not a valid Win32 application
8	Nobody is riding the bicycle on one wheel	not exists x. (Bicycle(x) & Riding(x))			A person in a black jacket is doing tricks on a motorbike	all x. (Person(x) & WearsBlackJacket(x) -> TricksOnMotorbike(x))	n	[WinError 193] %1 is not a valid Win32 application
9	A person is riding the bicycle on one wheel	exists x. (Person(x) & RidingBicycle(x, OneWheel))			A man in a black jacket is doing tricks on a motorbike	all x.all y. (Man(x) & BlackJacket(x) & Motorbike(y) -> DoingTricks(x, y))	n	[WinError 193] %1 is not a valid Win32 application
10	A person on a black motorbike is doing tricks with a jacket	all x.all y.all z. (Person(x) & BlackMotorbike(y) & Jacket(z) -> DoingTricksWith(x, y, z))			A person is riding the bicycle on one wheel	exists x. (Person(x) & RidingBicycle(x, OneWheel))	n	[WinError 193] %1 is not a valid Win32 application
11	A man with a jersey is dunking the ball at a basketball game	all x. (Man(x) & WearsJersey(x) -> DunkingBallAtBasketballGame(x))			The ball is being dunked by a man with a jersey at a basketball game	exists x. exists y. exists z. (Ball(x) & Man(y) & Jersey(z) & Dunking(y, x) & AtBasketballGame(y))	e	[WinError 193] %1 is not a valid Win32 application
12	A man with a jersey is dunking the ball at a basketball game	all x. (Man(x) & WearsJersey(x) -> DunkingBallAtBasketballGame(x))			A man who is playing dunks the basketball into the net and a crowd is in background	all x.all y. (Man(x) & Basketball(y) & PlaysDunks(x, y) -> CrowdInBackground(x))	n	[WinError 193] %1 is not a valid Win32 application
13	The player is dunking the basketball into the net and a crowd is in background	all x.all y. (Player(x) & Basketball(y) & Dunking(x, y) -> CrowdInBackground(x))			A man with a jersey is dunking the ball at a basketball game	all x. (Man(x) & WearsJersey(x) -> DunkingBallAtBasketballGame(x))	n	[WinError 193] %1 is not a valid Win32 application
14	Two people are kickboxing and spectators are not watching	all x.all y. (Person(x) & Person(y) & Kickboxing(x) -> not Spectator(y))			Two people are kickboxing and spectators are watching	exists x. exists y. (Person(x) & Person(y) & Kickboxing(x) & Kickboxing(y) & exists z. (Spectator(z) & Watching(z)))	c	[WinError 193] %1 is not a valid Win32 application
15	Two young women are sparring in a kickboxing fight	exists x. exists y. (YoungWoman(x) & YoungWoman(y) & Sparring(x, y) & KickboxingFight(x, y))			Two women are sparring in a kickboxing match	exists x. exists y. (Woman(x) & Woman(y) & Sparring(x, y) & KickboxingMatch(x, y))	e	[WinError 193] %1 is not a valid Win32 application
16	Two young women are not sparring in a kickboxing fight	not (exists x. exists y. (YoungWoman(x) & YoungWoman(y) & Sparring(x, y) & KickboxingFight(x, y)))			Two women are sparring in a kickboxing match	exists x. exists y. (Woman(x) & Woman(y) & Sparring(x, y) & KickboxingMatch(x, y))	n	[WinError 193] %1 is not a valid Win32 application
17	Two people are kickboxing and spectators are watching	exists x. exists y. (Person(x) & Person(y) & Kickboxing(x) & Kickboxing(y) & exists z. (Spectator(z) & Watching(z)))			Two young women are not sparring in a kickboxing fight	not (exists x. exists y. (YoungWoman(x) & YoungWoman(y) & Sparring(x, y) & KickboxingFight(x, y)))	n	[WinError 193] %1 is not a valid Win32 application
18	Two women are sparring in a kickboxing match	exists x. exists y. (Woman(x) & Woman(y) & Sparring(x, y) & KickboxingMatch(x, y))			Two people are kickboxing and spectators are not watching	all x.all y. (Person(x) & Person(y) & Kickboxing(x) -> not Spectator(y))	n	[WinError 193] %1 is not a valid Win32 application
19	Three boys are jumping in the leaves	exists x. exists y. exists z. (Boy(x) & Boy(y) & Boy(z) & JumpingInLeaves(x) & JumpingInLeaves(y) & JumpingInLeaves(z))			Three kids are jumping in the leaves	exists x. exists y. exists z. (Kid(x) & Kid(y) & Kid(z) & JumpingInLeaves(x) & JumpingInLeaves(y) & JumpingInLeaves(z))	e	[WinError 193] %1 is not a valid Win32 application
20	Three kids are sitting in the leaves	exists x.exists y.exists z. (Kid(x) & Kid(y) & Kid(z) & SittingInLeaves(x) & SittingInLeaves(y) & SittingInLeaves(z))			Three kids are jumping in the leaves	exists x. exists y. exists z. (Kid(x) & Kid(y) & Kid(z) & JumpingInLeaves(x) & JumpingInLeaves(y) & JumpingInLeaves(z))	n	[WinError 193] %1 is not a valid Win32 application
21	Children in red shirts are playing in the leaves	all x. (Child(x) & WearsRedShirt(x) -> PlaysInLeaves(x))			Three kids are sitting in the leaves	exists x.exists y.exists z. (Kid(x) & Kid(y) & Kid(z) & SittingInLeaves(x) & SittingInLeaves(y) & SittingInLeaves(z))	n	[WinError 193] %1 is not a valid Win32 application
22	Children in red shirts are playing in the leaves	all x. (Child(x) & WearsRedShirt(x) -> PlaysInLeaves(x))			Three kids are jumping in the leaves	exists x. exists y. exists z. (Kid(x) & Kid(y) & Kid(z) & JumpingInLeaves(x) & JumpingInLeaves(y) & JumpingInLeaves(z))	n	[WinError 193] %1 is not a valid Win32 application
23	Two angels are making snow on the lying children	exists x. exists y. (Angel(x) & Angel(y) & MakingSnow(x, y) & LyingChild(z) & On(z))			Two children are lying in the snow and are making snow angels	exists x. exists y. (Child(x) & Child(y) & LyingInSnow(x) & LyingInSnow(y) & MakingSnowAngels(x) & MakingSnowAngels(y))	n	[WinError 193] %1 is not a valid Win32 application
24	Two children are lying in the snow and are drawing angels	exists x. exists y. (Child(x) & Child(y) & LyingInSnow(x) & LyingInSnow(y) & DrawingAngels(x) & DrawingAngels(y))			Two people in snowsuits are lying in the snow and making snow angels	all x.all y.all z. (Person(x) & Person(y) & Snowsuit(x) & Snowsuit(y) & Snow(z) -> (LyingIn(x, z) & LyingIn(y, z) & MakingSnowAngels(x, y)))	n	[WinError 193] %1 is not a valid Win32 application
25	Two people in snowsuits are lying in the snow and making snow angels	all x.all y.all z. (Person(x) & Person(y) & Snowsuit(x) & Snowsuit(y) & Snow(z) -> (LyingIn(x, z) & LyingIn(y, z) & MakingSnowAngels(x, y)))			Two angels are making snow on the lying children	exists x. exists y. (Angel(x) & Angel(y) & MakingSnow(x, y) & LyingChild(z) & On(z))	n	[WinError 193] %1 is not a valid Win32 application
