	nl_ps	fol_ps	nl_h	fol_h	label	exception
0	Four children are doing backbends in the gym	exists z500. exists z500. exists x. exists y. exists z. exists w. (Child(x) & Child(y) & Child(z) & Child(w) & (Doing(x, z500) & Backbend(z500)) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & (In(x, z500) & Gym(z500)) & InGym(y) & InGym(z) & InGym(w))	Four girls are doing backbends and playing outdoors	all x.all y.all z.all w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) -> (DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingOutdoors(x) & PlayingOutdoors(y) & PlayingOutdoors(z) & PlayingOutdoors(w	n	"End of input found.  Expected token ')'.
all x.all y.all z.all w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) -> (DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingOutdoors(x) & PlayingOutdoors(y) & PlayingOutdoors(z) & PlayingOutdoors(w
                                                                                                                                                                                                                                ^"
1	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	exists z500. all x. (Woman(x) & WearingSilverPants(x) & WearingPinkBellbottoms(x) & WearingPinkScarf(x) -> (Riding(x, z500) & Bike(z500)))	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	exists z500. exists z500. exists z500. exists z500. all x. all y. ((Pink(x, z500) & Bellbottoms(z500)) & (Pink(y, z500) & Scarf(z500)) -> not (Woman(x) & (Silver(x, z500) & Pants(z500)) & (Bike(x, z500) & Riding(z500))))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Riding/2, Riding/1, Bike/1, Bike/2.


Fatal error:  The following symbols are used with multiple arities: Riding/2, Riding/1, Bike/1, Bike/2"
2	A man isn't tossing a kid into the swimming pool that is near the ocean	not exists x. (Man(x) & Tossing(x, y) & Kid(y) & Near(y, ocean) & Near(y, swimmingPool))	The man is tossing a kid into the swimming pool that is near the ocean	exists z500. exists z500. exists x. exists y. exists z. (Man(x) & Kid(y) & (Swimming(z, z500) & Pool(z500)) & TossesInto(x, y, z) & (Near(z, z500) & Ocean(z500)))	c	"'ocean' is an illegal variable name.  Constants may not be quantified.
all y. all ocean. (Near(y, ocean) -> Near(y, ocean))
           ^"
3	One man is climbing a cliff with a rope	exists x. exists y. exists z. (Man(x) & Cliff(y) & Rope(z) & Climbing(x, y, z))	A person with pink climbing gear roped the rock	exists z500. all x. (Person(x) & PinkClimbingGear(x) -> (Rope(x, z500) & Rock(z500)))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Rope/1, Rope/2.


Fatal error:  The following symbols are used with multiple arities: Rope/1, Rope/2"
4	A woman is dancing and singing alone	exists x. (Woman(x) & Dancing(x) & Singing(x) & Alone(x))	A woman is dancing and singing with other women	all x.all y.all z. (Woman(x) & Woman(y) & Woman(z) -> (Dancing(x, y) & Singing(x, z)))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Singing/1, Singing/2, Dancing/1, Dancing/2.


Fatal error:  The following symbols are used with multiple arities: Singing/1, Singing/2, Dancing/1, Dancing/2"
5	A woman is dancing and singing with other women	all x.all y.all z. (Woman(x) & Woman(y) & Woman(z) -> (Dancing(x, y) & Singing(x, z)))	A woman is dancing and singing in the rain	exists z500. exists x. (Woman(x) & Dancing(x) & Singing(x) & (In(x, z500) & Rain(z500)))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Singing/2, Singing/1, Dancing/2, Dancing/1.


Fatal error:  The following symbols are used with multiple arities: Singing/2, Singing/1, Dancing/2, Dancing/1"
6	A man is playing an electric guitar	exists x. (Man(x) & Playing(x, ElectricGuitar))	A man is playing guitar	exists z500. exists x. (Man(x) & (Playing(x, z500) & Guitar(z500)))	e	"'ElectricGuitar' is an illegal variable name.  Constants may not be quantified.
all x. all ElectricGuitar. (Playing(x, ElectricGuitar) -> Playing(x, ElectricGuitar))
           ^"
7	Three men are practicing karate outdoors	exists z500. exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & (Practicing(x, z500) & Karate(z500)) & PracticingKarate(y) & PracticingKarate(z) & Outdoors(x) & Outdoors(y) & Outdoors(z))	Three boys in karate costumes are fighting	exists z500. exists x. exists y. exists z. (Boy(x) & Boy(y) & Boy(z) & (Karate(x, z500) & Costume(z500)) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Karate/1, Karate/2.


Fatal error:  The following symbols are used with multiple arities: Karate/1, Karate/2"
8	The man is not slicing the potato	not exists x. (Man(x) & Slicing(x, potato))	The man is slicing a potato	exists x. exists y. (Man(x) & Potato(y) & Slicing(x, y))	c	"'potato' is an illegal variable name.  Constants may not be quantified.
all x. all potato. (Slicing(x, potato) -> Slicing(x, potato))
           ^"
9	Someone is strumming the guitar	exists z500. exists x. ((Strumming(x, z500) & Guitar(z500)))	Someone is playing the guitar	exists z500. exists x. ((Guitar(x, z500) & Player(z500)))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Guitar/1, Guitar/2.


Fatal error:  The following symbols are used with multiple arities: Guitar/1, Guitar/2"
