	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	An Italian became the world's greatest tenor.	exists x. (Italian(x) & WorldsGreatestTenor(x))	There was an Italian who became the world's greatest tenor.	exists x. (Italian(x) & WorldsGreatestTenor(x))	e	True	False
1	Every Italian man wants to be a great tenor. ## Some Italian men are great tenors.	exists x. (ItalianMan(x) -> WantsToBeGreatTenor(x)) ## exists x. (ItalianMan(x) & GreatTenor(x))	There are Italian men who want to be a great tenor.	exists x. (ItalianMan(x) & WantsToBeGreatTenor(x))	e	False	False
2	All Italian men want to be a great tenor. ## Some Italian men are great tenors.	exists x. (ItalianMan(x) -> WantsToBeGreatTenor(x)) ## exists x. (ItalianMan(x) & GreatTenor(x))	There are Italian men who want to be a great tenor.	exists x. (ItalianMan(x) & WantsToBeGreatTenor(x))	e	False	False
3	Each Italian tenor wants to be great. ## Some Italian tenors are great.	exists x. (ItalianTenor(x) -> WantsToBeGreat(x)) ## exists x. (ItalianTenor(x) & Great(x))	There are Italian tenors who want to be great.	exists x. (ItalianTenor(x) & WantsToBeGreat(x))	e	False	False
4	The really ambitious tenors are Italian.	exists x. (Tenor(x) & Ambitious(x) -> Italian(x))	There are really ambitious tenors who are Italian.	exists x. (Tenor(x) & Ambitious(x) & Italian(x))	e	False	False
5	No really great tenors are modest.	exists x. (Tenor(x) & ReallyGreat(x) -> not Modest(x))	There are really great tenors who are modest.	exists x. (Tenor(x) & Great(x) & Modest(x))	c	False	False
6	Some great tenors are Swedish.	exists x. (GreatTenor(x) & Swedish(x))	There are great tenors who are Swedish.	exists x. (Tenor(x) & Great(x) & Swedish(x))	e	False	False
7	Many great tenors are German.	exists x. (Tenor(x) & Great(x) & German(x))	There are great tenors who are German.	exists x. (Tenor(x) & Great(x) & German(x))	e	True	False
8	Several great tenors are British.	exists x. (Tenor(x) & Great(x) & British(x))	There are great tenors who are British.	exists x. (Tenor(x) & Great(x) & British(x))	e	True	False
9	Most great tenors are Italian.	exists x. (GreatTenor(x) -> Italian(x))	There are great tenors who are Italian.	exists x. (Tenor(x) & Great(x) & Italian(x))	e	False	False
10	A few great tenors sing popular music. ## Some great tenors like popular music.	exists x. (Tenor(x) & Great(x) & SingsPopularMusic(x)) ## exists x. (GreatTenor(x) & LikesPopularMusic(x))	There are great tenors who sing popular music.	exists x. (Tenor(x) & Great(x) & SingsPopularMusic(x))	e	True	False
11	Few great tenors are poor.	exists x. (GreatTenor(x) & Poor(x))	There are great tenors who are poor.	exists x. (GreatTenor(x) & Poor(x))	n	True	False
12	Both leading tenors are excellent. ## Leading tenors who are excellent are indispensable.	exists x.exists y. (LeadingTenor(x) & LeadingTenor(y) -> Excellent(x) & Excellent(y)) ## exists x. (LeadingTenor(x) & Excellent(x) -> Indispensable(x))	Both leading tenors are indispensable.	exists x.exists y. (Tenor(x) & Tenor(y) -> (Indispensable(x) & Indispensable(y)))	e	False	False
13	Neither leading tenor comes cheap. ## One of the leading tenors is Pavarotti.	exists x. exists y. (LeadingTenor(x) & LeadingTenor(y) -> not Cheap(x) & not Cheap(y)) ## exists x. (Tenor(x) & Leading(x) & Pavarotti(x))	Pavarotti is a leading tenor who comes cheap.	LeadingTenor(pavarotti) & ComesCheap(pavarotti)	c	False	False
14	At least three tenors will take part in the concert.	exists x. (Tenor(x) & TakesPartInConcert(x))	There are tenors who will take part in the concert.	exists x. (Tenor(x) & TakesPartInConcert(x))	e	True	False
15	At most two tenors will contribute their fees to charity.	exists x.exists y. (Tenor(x) & Tenor(y) & ContributesFeesToCharity(x) & ContributesFeesToCharity(y))	There are tenors who will contribute their fees to charity.	exists x. (Tenor(x) & ContributesFeesToCharity(x))	n	True	False
16	Every European has the right to live in Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	exists x. (European(x) -> RightToLiveInEurope(x)) ## exists x. (European(x) -> Person(x)) ## exists x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	Every European can travel freely within Europe.	exists x. (European(x) -> CanTravelFreelyWithinEurope(x))	e	False	False
17	All Europeans have the right to live in Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	exists x. (European(x) -> RightToLiveInEurope(x)) ## exists x. (European(x) -> Person(x)) ## exists x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	All Europeans can travel freely within Europe.	exists x. (European(x) -> CanTravelFreelyWithinEurope(x))	e	False	False
18	Each European has the right to live in Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	exists x. (European(x) -> RightToLiveInEurope(x)) ## exists x. (European(x) -> Person(x)) ## exists x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	Each European can travel freely within Europe.	exists x. (European(x) -> CanTravelFreelyWithinEurope(x))	e	False	False
19	The residents of member states have the right to live in Europe. ## All residents of member states are individuals. ## Every individual who has the right to live in Europe can travel freely within Europe.	exists x. (ResidentOfMemberState(x) -> RightToLiveInEurope(x)) ## exists x. (ResidentOfMemberState(x) -> Individual(x)) ## exists x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	The residents of member states can travel freely within Europe.	exists x. (ResidentOfMemberState(x) -> CanTravelFreelyWithinEurope(x))	e	False	False
20	No delegate finished the report on time.	not exists x. (Delegate(x) & FinishedReportOnTime(x))	No delegate finished the report.	not exists x. (Delegate(x) & FinishedReport(x))	n	False	False
21	Some delegates finished the survey on time.	exists x. (Delegate(x) & FinishedSurveyOnTime(x))	Some delegates finished the survey.	exists x. (Delegate(x) & FinishedSurvey(x))	e	False	False
22	Many delegates obtained interesting results from the survey.	exists x. (Delegate(x) & ObtainedInterestingResults(x) -> Survey(x))	Many delegates obtained results from the survey.	exists x. (Delegate(x) -> ObtainedResultsFromSurvey(x))	e	False	False
23	Several delegates got the results published in major national newspapers.	exists x. exists y. exists z. (Delegate(x) & Delegate(y) & Delegate(z) & NationalNewspaper(n) & Major(m) & PublishedIn(x, n, m) & PublishedIn(y, n, m) & PublishedIn(z, n, m))	Several delegates got the results published.	exists x. exists y. exists z. (Delegate(x) & Delegate(y) & Delegate(z) & PublishedResults(x) & PublishedResults(y) & PublishedResults(z))	e	False	False
24	Most Europeans are resident in Europe. ## All Europeans are people. ## All people who are resident in Europe can travel freely within Europe.	exists x. (European(x) -> ResidentIn(x, Europe)) ## exists x. (European(x) -> Person(x)) ## exists x. (Person(x) & ResidentInEurope(x) -> CanTravelFreelyWithinEurope(x))	Most Europeans can travel freely within Europe.	exists x. (European(x) -> CanTravelFreelyWithinEurope(x))	e	False	False
25	A few committee members are from Sweden. ## All committee members are people. ## All people who are from Sweden are from Scandinavia.	exists x.exists y. (CommitteeMember(x) & CommitteeMember(y) & FromSweden(x) & FromSweden(y)) ## exists x. (CommitteeMember(x) -> Person(x)) ## exists x. (Person(x) & FromSweden(x) -> FromScandinavia(x))	At least a few committee members are from Scandinavia.	exists x. (CommitteeMember(x) & FromScandinavia(x))	e	False	False
26	Few committee members are from Portugal. ## All committee members are people. ## All people who are from Portugal are from southern Europe.	exists x. (CommitteeMember(x) & FromPortugal(x)) ## exists x. (CommitteeMember(x) -> Person(x)) ## exists x. (Person(x) & FromPortugal(x) -> SouthernEuropean(x))	There are few committee members from southern Europe.	exists x. (CommitteeMember(x) & FromSouthernEurope(x))	n	False	False
27	Both commissioners used to be leading businessmen.	exists x.exists y. (Commissioner(x) & Commissioner(y) -> (UsedToBeLeadingBusinessman(x) & UsedToBeLeadingBusinessman(y)))	Both commissioners used to be businessmen.	exists x.exists y. (Commissioner(x) & Commissioner(y) -> (UsedToBeBusinessman(x) & UsedToBeBusinessman(y)))	e	False	False
28	At least three commissioners spend a lot of time at home.	exists x.exists y.exists z. (Commissioner(x) & Commissioner(y) & Commissioner(z) & (SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z)))	At least three commissioners spend time at home.	exists x.exists y.exists z. (Commissioner(x) & Commissioner(y) & Commissioner(z) & SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z))	e	True	False
29	Every European can travel freely within Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	exists x. (European(x) -> CanTravelFreelyWithinEurope(x)) ## exists x. (European(x) -> Person(x)) ## exists x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	Every European has the right to live in Europe.	exists x. (European(x) -> RightToLiveInEurope(x))	n	False	False
30	All Europeans can travel freely within Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	exists x. (European(x) -> CanTravelFreelyWithinEurope(x)) ## exists x. (European(x) -> Person(x)) ## exists x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	All Europeans have the right to live in Europe.	exists x. (European(x) -> RightToLiveInEurope(x))	n	False	False
31	Each European can travel freely within Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	exists x. (European(x) -> CanTravelFreelyWithinEurope(x)) ## exists x. (European(x) -> Person(x)) ## exists x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	Each European has the right to live in Europe.	exists x. (European(x) -> RightToLiveInEurope(x))	n	False	False
