	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	The young boys are playing outdoors and the man is smiling nearby	exists x.exists y. (YoungBoy(x) & Outdoors(y) -> Plays(x, y)) & (Man(z) & Smiling(z))	There is no boy playing outdoors and there is no man smiling	not exists x. (Boy(x) & PlayingOutdoors(x)) & not exists y. (Man(y) & Smiling(y))	c	False	False
1	A person in a black jacket is doing tricks on a motorbike	exists x. (Person(x) & WearsBlackJacket(x) -> TricksOnMotorbike(x))	A skilled person is riding a bicycle on one wheel	exists x. exists y. (SkilledPerson(x) & Bicycle(y) & RidingOnOneWheel(x, y) -> SkilledBicycleRider(x))	n	False	False
2	A player is throwing the ball	exists x. (Player(x) & ThrowingBall(x))	Two teams are competing in a football match	exists x. exists y. (Team(x) & Team(y) & FootballMatch(x, y))	n	False	False
3	Five children are standing in front of a wooden hut	exists x. exists y. (Child(x) & Child(y) & WoodenHut(z) & StandingInFrontOf(x, z) & StandingInFrontOf(y, z))	Five children are standing in a wooden hut	exists x. exists y. exists z. exists w. exists v. (Child(x) & Child(y) & Child(z) & Child(w) & Child(v) & WoodenHut(h) & StandingIn(x, h) & StandingIn(y, h) & StandingIn(z, h) & StandingIn(w, h) & StandingIn(v, h))	n	False	False
4	Few people are eating at red tables in a restaurant without lights	exists x. (Person(x) & EatingAtRedTables(x) & not exists y. (Restaurant(y) & Lights(y) & LocatedIn(y, x)))	A large group of Asian people is eating at a restaurant	exists x. exists y. (AsianPerson(x) & Group(x) & Restaurant(y) & EatingAt(x, y))	n	False	False
5	Someone is on a black and white motorcycle and is standing on the seat	exists x. (Motorcycle(x) & BlackAndWhite(x) & StandingOnSeat(x))	A motorcycle is riding standing up on the seat of the vehicle	exists x. (Motorcycle(x) -> RidingStandingUpOnSeat(x))	n	False	False
6	Two dogs are playing by a tree	exists x.exists y.exists z. (Dog(x) & Dog(y) & Tree(z) & PlayingBy(x, y, z))	Two dogs are playing by a plant	exists x. exists y. exists z. (Dog(x) & Dog(y) & Plant(z) & PlayingBy(x, y, z))	e	False	False
7	A girl in white is dancing	exists x. (Girl(x) & WearingWhite(x) -> Dancing(x))	A girl is wearing white clothes and is dancing	exists x. (Girl(x) & WearingWhiteClothes(x) & Dancing(x))	e	False	False
8	There is no girl in white dancing	not exists x. (Girl(x) & White(x) & Dancing(x))	A girl in white is dancing	exists x. (Girl(x) & WearingWhite(x) -> Dancing(x))	c	False	False
9	The equipment in front of the blond dancing girl is sound	exists x. (Equipment(x) & InFrontOfBlondDancingGirl(x) -> Sound(x))	A girl in white is dancing	exists x. (Girl(x) & WearingWhite(x) -> Dancing(x))	n	False	False
10	A girl in white is dancing	exists x. (Girl(x) & WearingWhite(x) -> Dancing(x))	The blond girl is dancing in front of the sound equipment	DancingInFrontOfSoundEquipment(blondGirl)	n	False	False
11	The children of a family are playing and waiting	exists x.exists y. (Family(x) & Child(y, x) -> (Plays(y) & Waits(y)))	An Asian man is dancing and three kids are looking	exists x. exists y. exists z. (AsianMan(x) & Dancing(x) & Kid(y) & Kid(z) & LookingAt(y, x) & LookingAt(z, x))	n	False	False
12	A hiker is on top of the mountain and is doing a joyful dance	exists x. (Hiker(x) -> (OnTopOfMountain(x) & JoyfulDance(x)))	A hiker is on top of the mountain and is dancing	exists x. (Hiker(x) & OnTopOfMountain(x) & Dancing(x))	e	False	False
13	A boy is standing outside the water	exists x. (Boy(x) & StandingOutsideWater(x))	The boy is wading through the blue ocean	Boy(x) & Wading(x) & BlueOcean(y) & Through(x, y)	n	False	False
14	A bald person is playing a guitar	exists x. (Bald(x) -> exists y. (Guitar(y) & Playing(x, y)))	A person has blonde and flyaway hair and is playing a guitar	exists x. (Person(x) & BlondeHair(x) & FlyawayHair(x) & PlayingGuitar(x))	n	False	False
15	An old, topless woman is covered in paint	exists x. (Woman(x) & Old(x) & Topless(x) & CoveredInPaint(x))	A young, topless woman is covered in paint	exists x. (Young(x) & Topless(x) -> CoveredInPaint(x))	n	True	False
16	A group of children in uniforms is standing at a gate and there is no one kissing the mother	exists x.exists y.exists z. (GroupOfChildren(x) & Uniforms(y) & Gate(z) -> (StandingAt(x, z) & not KissingMother(x)))	A crowd of people is near the water	exists x. (Crowd(x) & Near(x, Water))	n	False	False
17	A brown and white dog is running through the tall grass	exists x. (Dog(x) & Brown(x) & White(x) & Running(x) & Through(x, tallGrass))	A brown and white dog is moving through the wild grass	exists x. (Dog(x) & Brown(x) & White(x) -> MovingThroughWildGrass(x))	n	False	False
18	A white and tan dog is running through the tall and green grass	exists x. (Dog(x) & White(x) & Tan(x) -> exists y. (TallGrass(y) & Green(y) & RunningThrough(x, y)))	A white and tan dog is running through a field	exists x. (Dog(x) & White(x) & Tan(x) -> exists y. (Field(y) & RunningThrough(x, y)))	e	False	False
19	A man is sitting near a bike and is writing a note	exists x. exists y. exists z. (Man(x) & Bike(y) & Note(z) & SittingNear(x, y) & Writing(x, z))	A man is standing near a bike and is writing on a piece paper	exists x. exists y. exists z. (Man(x) & Bike(y) & Paper(z) & StandingNear(x, y) & WritingOn(x, z))	n	False	False
20	A group of scouts are hiking through the grass	exists x.exists y. (ScoutGroup(x) & Grass(y) -> HikingThrough(x, y))	A group of explorers are walking through the grass	exists x. exists y. (Explorer(x) & Grass(y) & WalkingThrough(x, y))	n	False	False
21	Two men are taking a break from a trip on a snowy road	exists x. exists y. (Man(x) & Man(y) & TakingBreak(x, y) & Trip(x, y) & SnowyRoad(x, y))	Two men with cars are on the side of a snowy road	exists x. exists y. (Man(x) & Man(y) & Car(x) & Car(y) & OnSideOfRoad(x, y) & Snowy(x, y))	n	False	False
22	A lady is surfing and riding a wave	exists x. (Lady(x) -> (Surfing(x) & RidingWave(x)))	A blond girl is looking at the waves	exists x. (Girl(x) & Blond(x) & LookingAtWaves(x))	n	False	False
23	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	exists x. (Woman(x) & WearingSilverPants(x) & WearingPinkBellbottoms(x) & WearingPinkScarf(x) -> RidingBike(x))	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	exists x. exists y. (PinkBellbottoms(x) & PinkScarf(y) -> not (Woman(x) & SilverPants(x) & BikeRiding(x)))	n	False	False
24	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	exists x. (Woman(x) & WearingSilverPants(x) & WearingPinkBellbottoms(x) & WearingPinkScarf(x) -> RidingBike(x))	A pedestrian woman is building pink bicycles for boa wearing riders	exists x.exists y.exists z. (Pedestrian(x) & Woman(x) & PinkBicycle(y) & BoaWearingRider(z) -> BuildsFor(x, y, z))	n	False	False
25	A biker is wearing gear which is black	exists x. (Biker(x) -> WearingBlackGear(x))	A biker wearing black is breaking the gears	exists x. (Biker(x) & WearingBlack(x) -> BreakingGears(x))	n	False	False
