,p_nl,h_nl,p_fol,h_fol,label,e_pred,c_pred
0,The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,"all x.all y. (YoungBoy(x) & Outdoors(y) -> Plays(x, y)) & (Man(z) & Smiling(z))",not exists x. (Boy(x) & PlayingOutdoors(x)) & not exists y. (Man(y) & Smiling(y)),c,False,False
1,A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,all x. (Person(x) & WearsBlackJacket(x) -> TricksOnMotorbike(x)),"all x. all y. (SkilledPerson(x) & Bicycle(y) & RidingOnOneWheel(x, y) -> SkilledBicycleRider(x))",n,False,False
2,A player is throwing the ball,Two teams are competing in a football match,exists x. (Player(x) & ThrowingBall(x)),"exists x. exists y. (Team(x) & Team(y) & FootballMatch(x, y))",n,False,False
3,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,"exists x. exists y. (Child(x) & Child(y) & WoodenHut(z) & StandingInFrontOf(x, z) & StandingInFrontOf(y, z))","exists x. exists y. exists z. exists w. exists v. (Child(x) & Child(y) & Child(z) & Child(w) & Child(v) & WoodenHut(h) & StandingIn(x, h) & StandingIn(y, h) & StandingIn(z, h) & StandingIn(w, h) & StandingIn(v, h))",n,False,False
4,Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,"exists x. (Person(x) & EatingAtRedTables(x) & not exists y. (Restaurant(y) & Lights(y) & LocatedIn(y, x)))","exists x. exists y. (AsianPerson(x) & Group(x) & Restaurant(y) & EatingAt(x, y))",n,False,False
5,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle,exists x. (Motorcycle(x) & BlackAndWhite(x) & StandingOnSeat(x)),all x. (Motorcycle(x) -> RidingStandingUpOnSeat(x)),n,False,False
6,Two dogs are playing by a tree,Two dogs are playing by a plant,"exists x.exists y.exists z. (Dog(x) & Dog(y) & Tree(z) & PlayingBy(x, y, z))","exists x. exists y. exists z. (Dog(x) & Dog(y) & Plant(z) & PlayingBy(x, y, z))",e,False,False
7,A girl in white is dancing,A girl is wearing white clothes and is dancing,all x. (Girl(x) & WearingWhite(x) -> Dancing(x)),exists x. (Girl(x) & WearingWhiteClothes(x) & Dancing(x)),e,False,False
8,There is no girl in white dancing,A girl in white is dancing,not exists x. (Girl(x) & White(x) & Dancing(x)),all x. (Girl(x) & WearingWhite(x) -> Dancing(x)),c,False,False
9,The equipment in front of the blond dancing girl is sound,A girl in white is dancing,all x. (Equipment(x) & InFrontOfBlondDancingGirl(x) -> Sound(x)),all x. (Girl(x) & WearingWhite(x) -> Dancing(x)),n,False,False
