	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	The young boys are playing outdoors and the man is smiling nearby	exists z500. all x.all y. ((Young(x, z500) & Boy(z500)) & Outdoors(y) -> Plays(x, y)) & (Man(z) & Smiling(z))	There is no boy playing outdoors and there is no man smiling	exists z500. not exists x. (Boy(x) & (Playing(x, z500) & Outdoors(z500))) & not exists y. (Man(y) & Smiling(y))	c	False	False
1	A person in a black jacket is doing tricks on a motorbike	all x. (Person(x) & WearsBlackJacket(x) -> TricksOnMotorbike(x))	A skilled person is riding a bicycle on one wheel	exists z500. all x. all y. ((Skilled(x, z500) & Person(z500)) & Bicycle(y) & RidingOnOneWheel(x, y) -> SkilledBicycleRider(x))	n	False	False
2	A player is throwing the ball	exists z500. exists x. (Player(x) & (Throwing(x, z500) & Ball(z500)))	Two teams are competing in a football match	exists x. exists y. (Team(x) & Team(y) & FootballMatch(x, y))	n	False	False
3	Five children are standing in front of a wooden hut	exists z500. exists x. exists y. (Child(x) & Child(y) & (Wooden(z, z500) & Hut(z500)) & StandingInFrontOf(x, z) & StandingInFrontOf(y, z))	Five children are standing in a wooden hut	exists z500. exists x. exists y. exists z. exists w. exists v. (Child(x) & Child(y) & Child(z) & Child(w) & Child(v) & (Wooden(h, z500) & Hut(z500)) & StandingIn(x, h) & StandingIn(y, h) & StandingIn(z, h) & StandingIn(w, h) & StandingIn(v, h))	n	False	False
4	Few people are eating at red tables in a restaurant without lights	exists x. (Person(x) & EatingAtRedTables(x) & not exists y. (Restaurant(y) & Lights(y) & LocatedIn(y, x)))	A large group of Asian people is eating at a restaurant	exists z500. exists x. exists y. ((Asian(x, z500) & Person(z500)) & Group(x) & Restaurant(y) & EatingAt(x, y))	n	False	False
5	Someone is on a black and white motorcycle and is standing on the seat	exists x. (Motorcycle(x) & BlackAndWhite(x) & StandingOnSeat(x))	A motorcycle is riding standing up on the seat of the vehicle	all x. (Motorcycle(x) -> RidingStandingUpOnSeat(x))	n	False	False
6	Two dogs are playing by a tree	exists x.exists y.exists z. (Dog(x) & Dog(y) & Tree(z) & PlayingBy(x, y, z))	Two dogs are playing by a plant	exists x. exists y. exists z. (Dog(x) & Dog(y) & Plant(z) & PlayingBy(x, y, z))	e	False	False
7	A girl in white is dancing	exists z500. all x. (Girl(x) & (Wearing(x, z500) & White(z500)) -> Dancing(x))	A girl is wearing white clothes and is dancing	exists x. (Girl(x) & WearingWhiteClothes(x) & Dancing(x))	e	False	False
8	There is no girl in white dancing	not exists x. (Girl(x) & White(x) & Dancing(x))	A girl in white is dancing	exists z500. all x. (Girl(x) & (Wearing(x, z500) & White(z500)) -> Dancing(x))	c	False	False
9	The equipment in front of the blond dancing girl is sound	all x. (Equipment(x) & InFrontOfBlondDancingGirl(x) -> Sound(x))	A girl in white is dancing	exists z500. all x. (Girl(x) & (Wearing(x, z500) & White(z500)) -> Dancing(x))	n	False	False
10	A girl in white is dancing	exists z500. all x. (Girl(x) & (Wearing(x, z500) & White(z500)) -> Dancing(x))	The blond girl is dancing in front of the sound equipment	DancingInFrontOfSoundEquipment(blondGirl)	n	False	False
11	The children of a family are playing and waiting	all x.all y. (Family(x) & Child(y, x) -> (Plays(y) & Waits(y)))	An Asian man is dancing and three kids are looking	exists z500. exists x. exists y. exists z. ((Asian(x, z500) & Man(z500)) & Dancing(x) & Kid(y) & Kid(z) & LookingAt(y, x) & LookingAt(z, x))	n	False	False
12	A hiker is on top of the mountain and is doing a joyful dance	exists z500. all x. (Hiker(x) -> (OnTopOfMountain(x) & (Joyful(x, z500) & Dance(z500))))	A hiker is on top of the mountain and is dancing	exists x. (Hiker(x) & OnTopOfMountain(x) & Dancing(x))	e	False	False
13	A boy is standing outside the water	exists x. (Boy(x) & StandingOutsideWater(x))	The boy is wading through the blue ocean	exists z500. Boy(x) & Wading(x) & (Blue(y, z500) & Ocean(z500)) & Through(x, y)	n	False	False
14	A bald person is playing a guitar	all x. (Bald(x) -> exists y. (Guitar(y) & Playing(x, y)))	A person has blonde and flyaway hair and is playing a guitar	exists z500. exists z500. exists z500. exists x. (Person(x) & (Blonde(x, z500) & Hair(z500)) & (Flyaway(x, z500) & Hair(z500)) & (Playing(x, z500) & Guitar(z500)))	n	False	False
15	An old, topless woman is covered in paint	exists x. (Woman(x) & Old(x) & Topless(x) & CoveredInPaint(x))	A young, topless woman is covered in paint	all x. (Young(x) & Topless(x) -> CoveredInPaint(x))	n	False	False
16	A group of children in uniforms is standing at a gate and there is no one kissing the mother	exists z500. all x.all y.all z. (GroupOfChildren(x) & Uniforms(y) & Gate(z) -> (StandingAt(x, z) & not (Kissing(x, z500) & Mother(z500))))	A crowd of people is near the water	exists x. (Crowd(x) & Near(x, Water))	n	False	False
17	A brown and white dog is running through the tall grass	exists x. (Dog(x) & Brown(x) & White(x) & Running(x) & Through(x, tallGrass))	A brown and white dog is moving through the wild grass	all x. (Dog(x) & Brown(x) & White(x) -> MovingThroughWildGrass(x))	n	False	False
18	A white and tan dog is running through the tall and green grass	exists z500. all x. (Dog(x) & White(x) & Tan(x) -> exists y. ((Tall(y, z500) & Grass(z500)) & Green(y) & RunningThrough(x, y)))	A white and tan dog is running through a field	all x. (Dog(x) & White(x) & Tan(x) -> exists y. (Field(y) & RunningThrough(x, y)))	e	False	False
19	A man is sitting near a bike and is writing a note	exists x. exists y. exists z. (Man(x) & Bike(y) & Note(z) & SittingNear(x, y) & Writing(x, z))	A man is standing near a bike and is writing on a piece paper	exists x. exists y. exists z. (Man(x) & Bike(y) & Paper(z) & StandingNear(x, y) & WritingOn(x, z))	n	False	False
20	A group of scouts are hiking through the grass	exists z500. all x.all y. ((Scout(x, z500) & Group(z500)) & Grass(y) -> HikingThrough(x, y))	A group of explorers are walking through the grass	exists x. exists y. (Explorer(x) & Grass(y) & WalkingThrough(x, y))	n	False	False
21	Two men are taking a break from a trip on a snowy road	exists x. exists y. (Man(x) & Man(y) & TakingBreak(x, y) & Trip(x, y) & SnowyRoad(x, y))	Two men with cars are on the side of a snowy road	exists x. exists y. (Man(x) & Man(y) & Car(x) & Car(y) & OnSideOfRoad(x, y) & Snowy(x, y))	n	False	False
22	A lady is surfing and riding a wave	exists z500. all x. (Lady(x) -> (Surfing(x) & (Riding(x, z500) & Wave(z500))))	A blond girl is looking at the waves	exists x. (Girl(x) & Blond(x) & LookingAtWaves(x))	n	False	False
23	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	exists z500. all x. (Woman(x) & WearingSilverPants(x) & WearingPinkBellbottoms(x) & WearingPinkScarf(x) -> (Riding(x, z500) & Bike(z500)))	A pedestrian woman is building pink bicycles for boa wearing riders	exists z500. all x.all y.all z. (Pedestrian(x) & Woman(x) & (Pink(y, z500) & Bicycle(z500)) & BoaWearingRider(z) -> BuildsFor(x, y, z))	n	False	False
24	A biker is wearing gear which is black	all x. (Biker(x) -> WearingBlackGear(x))	A biker wearing black is breaking the gears	exists z500. exists z500. all x. (Biker(x) & (Wearing(x, z500) & Black(z500)) -> (Breaking(x, z500) & Gears(z500)))	n	False	False
25	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	exists z500. all x.all y. (Woman(x) & Cloak(y) & (Very(y, z500) & Large(z500)) -> (TakesOff(x, y) & RevealsExtravagantDress(x)))	A woman is putting on a cloak, which is very large, and concealing an extravagant dress	exists z500. all x.all y. (Woman(x) & Cloak(y) & Wears(x, y) -> ((Very(y, z500) & Large(z500)) & ConcealsExtravagantDress(x)))	c	False	False
26	A boy is climbing up a wall artificially built for climbing and is attached to a rope	all x.all y.all z. (Boy(x) & Wall(y) & Rope(z) & ClimbsUp(x, y) & AttachedTo(x, z) -> ArtificialClimbing(x, y))	A little boy, who looks fearful, is on a climbing wall.	exists z500. exists z500. all x. ((Little(x, z500) & Boy(z500)) & (Looks(x, z500) & Fearful(z500)) -> OnClimbingWall(x))	n	False	False
27	A person is climbing a rock with a rope, which is pink	all x.all y.all z. (Person(x) & Rock(y) & Rope(z) & Climbing(x, y, z) -> (Pink(y)))	One man is climbing a cliff with a rope	exists x. exists y. exists z. (Man(x) & Cliff(y) & Rope(z) & Climbing(x, y, z))	n	False	False
