	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	A group of kids is playing in a yard and an old man is standing in the background	exists x. exists y. (Kid(x) & Yard(y) & PlayingIn(x, y) & Old(z) & Man(z) & StandingInBackground(z, y))	A group of boys in a yard is playing and a man is standing in the background	exists x.exists y. (GroupOfBoys(x) & Yard(y) & Playing(x, y)) & exists z. (Man(z) & exists w. (Yard(w) & StandingInBackground(z, w)))	n	False	False
1	The young boys are playing outdoors and the man is smiling nearby	exists x.exists y. (Young(x) & Boy(x) & Outdoors(y) & Plays(x, y)) & (Man(z) & Smiling(z))	The kids are playing outdoors near a man with a smile	exists x.exists y.exists z. (Kid(x) & Outdoors(y) & Man(z) & Smile(z) & PlayingNear(x, y, z))	e	False	False
2	The kids are playing outdoors near a man with a smile	exists x.exists y.exists z. (Kid(x) & Outdoors(y) & Man(z) & Smile(z) & PlayingNear(x, y, z))	A group of kids is playing in a yard and an old man is standing in the background	exists x. exists y. (Kid(x) & Yard(y) & PlayingIn(x, y) & Old(z) & Man(z) & StandingInBackground(z, y))	n	False	False
3	The young boys are playing outdoors and the man is smiling nearby	exists x.exists y. (Young(x) & Boy(x) & Outdoors(y) & Plays(x, y)) & (Man(z) & Smiling(z))	A group of kids is playing in a yard and an old man is standing in the background	exists x. exists y. (Kid(x) & Yard(y) & PlayingIn(x, y) & Old(z) & Man(z) & StandingInBackground(z, y))	n	False	False
4	Two dogs are fighting	exists x. exists y. (Dog(x) & Dog(y) & Fighting(x, y))	Two dogs are wrestling and hugging	exists x. exists y. (Dog(x) & Dog(y) & Wrestling(x, y) & Hugging(x, y))	n	False	False
5	A brown dog is attacking another animal in front of the man in pants	exists x.exists y.exists z. (Brown(x) & Dog(x) & Animal(y) & ManInPants(z) & AttacksInFrontOf(x, y, z))	Two dogs are fighting	exists x. exists y. (Dog(x) & Dog(y) & Fighting(x, y))	n	False	False
6	A brown dog is attacking another animal in front of the man in pants	exists x.exists y.exists z. (Brown(x) & Dog(x) & Animal(y) & ManInPants(z) & AttacksInFrontOf(x, y, z))	Two dogs are wrestling and hugging	exists x. exists y. (Dog(x) & Dog(y) & Wrestling(x, y) & Hugging(x, y))	n	False	False
7	Nobody is riding the bicycle on one wheel	not exists x. (Bicycle(x) & Riding(x))	A person in a black jacket is doing tricks on a motorbike	exists x. (Person(x) & WearsBlackJacket(x) & TricksOnMotorbike(x))	n	False	False
8	A person is riding the bicycle on one wheel	exists x. (Person(x) & RidingBicycle(x, OneWheel))	A man in a black jacket is doing tricks on a motorbike	exists x.exists y. (Man(x) & Black(x) & Jacket(x) & Motorbike(y) & DoingTricks(x, y))	n	False	False
9	A person on a black motorbike is doing tricks with a jacket	exists x.exists y.exists z. (Person(x) & Black(y) & Motorbike(y) & Jacket(z) & DoingTricksWith(x, y, z))	A person is riding the bicycle on one wheel	exists x. (Person(x) & RidingBicycle(x, OneWheel))	n	False	False
