	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	John spoke to Mary at four o'clock. ## And Bill did at five o'clock.	SpokeTo(john, mary, fourOclock) ## exists x. (Bill(x) & Time(x, 5) & DidAt(x, 5))	Bill spoke to Mary at five o'clock.	exists x. exists y. exists z. (Bill(x) & Mary(y) & Five(z) & Oclock(z) & SpokeAt(x, y, z))	e	False	False
1	John has spoken to Mary. ## Bill is going to.	HasSpoken(john, mary) ## Going(bill) & To(bill)	Bill will speak to Mary.	SpeakTo(bill, mary)	e	False	False
2	John spoke to Mary on Monday. ## Bill didn't.	SpokeTo(john, mary, monday) ## not Bill(x)	Bill spoke to Mary on Monday.	SpokeTo(bill, mary, monday)	c	False	False
3	Has John spoken to Mary? ## Bill has.	exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y)) ## Has(bill)	Bill has spoken to Mary.	exists x. exists y. (Bill(x) & Mary(y) & SpokenTo(x, y))	e	False	False
4	John has spoken to Mary. ## The students have too.	HasSpoken(john, mary) ## exists x. (Student(x) & Too(x))	The students have spoken to Mary.	exists x.exists y. (Student(x) & Mary(y) & SpokenTo(x, y))	e	False	False
5	John is going to Paris by car, and the students by train.	exists x. exists y. (John(x) & Paris(y) & GoesByCar(x, y)) & (Students(x) & Train(y) & GoesByTrain(x, y))	The students are going to Paris by train.	exists x. (Student(x) & GoingToParisByTrain(x))	e	False	False
6	John had his paper accepted. ## Bill doesn't know why.	HadPaperAccepted(john) ## not (exists x. (Person(x) & Knows(x, y) & Why(y)))	Bill knows why John had his paper accepted.	KnowsWhy(Bill, John, PaperAccepted)	c	False	False
7	John spoke to Mary. ## And to Sue.	"exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y)) ## exists x. (Person(x) & Name(x, ""Sue"") & Person(x))"	John spoke to Sue.	SpokeTo(john, sue)	e	False	False
8	John spoke to Mary. ## On Friday.	exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y)) ## Friday(x)	John spoke to Mary on Friday.	SpokeTo(john, mary, friday)	e	False	False
9	John spoke to Mary on Thursday. ## And on Friday.	SpokeTo(john, mary, thursday) ## exists x. (Friday(x) & On(x) & Friday(x))	John spoke to Mary on Friday.	SpokeTo(john, mary, friday)	e	False	False
10	Twenty men work in the Sales Department. ## But only one woman.	exists x. (Man(x) & WorksInSalesDepartment(x)) ## exists x. (Woman(x) & not exists y. (Woman(y) & not Woman(z) & Man(z) & DifferentFrom(y, z)))	Two women work in the Sales Department.	exists x. exists y. (Woman(x) & Woman(y) & WorkInSalesDepartment(x) & WorkInSalesDepartment(y))	c	False	False
11	John wants to know how many men work part time. ## And women.	WantsToKnow(John, NumberOfPartTimeMen) ## exists x. (Woman(x))	John wants to know how many women work part time.	WantsToKnow(John, NumberOfWomenWorkingPartTime)	e	False	False
12	John wants to know how many men work part time, and which.	exists x. (Man(x) & Part(x) & Time(x) & WantsToKnow(John, x))	John wants to know which men work part time.	exists x. (Man(x) & Part(x) & Time(x) & WantsToKnow(John, x))	e	True	False
13	Bill spoke to everyone that John did. ## John spoke to Mary.	exists x. exists y. (Bill(x) & John(y) & SpokeTo(x, y)) ## exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y))	Bill spoke to Mary.	exists x. exists y. (Bill(x) & Mary(y) & SpokeTo(x, y))	e	False	False
14	Bill spoke to everyone that John did. ## Bill spoke to Mary.	exists x. exists y. (Bill(x) & John(y) & SpokeTo(x, y)) ## exists x. exists y. (Bill(x) & Mary(y) & SpokeTo(x, y))	John spoke to Mary.	exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y))	n	False	False
15	John needed to buy a car, and Bill did.	exists x.exists y. (NeededToBuyCar(x) & NeededToBuyCar(y) & (John(x) & Bill(y)))	Bill bought a car.	exists x. exists y. (Bill(x) & Car(y) & Bought(x, y))	n	False	False
16	Smith claimed he had costed his proposal and so did Jones.	exists x. exists y. (Smith(x) & Jones(y) & (Costed(x) & Proposal(x) & CostedProposal(y)))	Jones claimed he had costed his own proposal.	ClaimedCostedProposal(jones)	e	False	False
17	Smith claimed he had costed his proposal and so did Jones.	exists x. exists y. (Smith(x) & Jones(y) & (Costed(x) & Proposal(x) & CostedProposal(y)))	Jones claimed he had costed Smith's proposal.	ClaimedCosted(jones, smith)	e	False	False
18	Smith claimed he had costed his proposal and so did Jones.	exists x. exists y. (Smith(x) & Jones(y) & (Costed(x) & Proposal(x) & CostedProposal(y)))	Jones claimed Smith had costed Smith's proposal.	ClaimedCosted(jones, smith, proposal)	e	False	False
19	Smith claimed he had costed his proposal and so did Jones.	exists x. exists y. (Smith(x) & Jones(y) & (Costed(x) & Proposal(x) & CostedProposal(y)))	Jones claimed Smith had costed Jones' proposal.	ClaimedCosted(jones, smith, proposal)	n	False	False
20	John is a man and Mary is a woman. ## John represents his company and so does Mary.	exists x. exists y. (Man(x) & Woman(y) & (John(x) & Mary(y))) ## exists x.exists y. (John(x) & Mary(y) & (Represents(x) & Company(x) & RepresentsCompany(y)))	Mary represents her own company.	RepresentsOwnCompany(mary)	e	False	False
21	Bill suggested to Frank's boss that they should go to the meeting together, and Carl to Alan's wife.	exists x.exists y.exists z. (Bill(x) & Frank(y) & Alan(z) & (SuggestedTo(x, y, z) & not SuggestedTo(x, z, y)))	If it was suggested that Bill and Frank should go together, it was suggested that Carl and Alan should go together.	exists x. exists y. exists z. exists w. (Suggested(x, y, z) & Suggested(y, w, z) & (Bill(x) & Frank(y) & Carl(w) & Alan(z)))	e	False	False
