	id	premises	h	label
0	251	ITEL has a factory in Birmingham.	ITEL currently has a factory in Birmingham.	yes
1	252	Since 1992 ITEL has been in Birmingham. ## It is now 1996.	Itel was in Birmingham in 1993.	yes
2	253	ITEL has developed a new editor since 1992. ## It is now 1996.	ITEL developed a new editor in 1993.	unknown
3	254	ITEL has expanded since 1992. ## It is now 1996.	ITEL expanded in 1993.	unknown
4	255	Since 1992 ITEL has made a loss. ## It is now 1996.	ITEL made a loss in 1993.	yes
5	256	ITEL has made a loss since 1992. ## It is now 1996.	ITEL made a loss in 1993.	unknown
6	257	ITEL has made a loss since 1992. ## It is now 1996.	ITEL made a loss in 1993.	yes
7	258	In March 1993 APCOM founded ITEL.	ITEL existed in 1992.	no
8	259	The conference started on July 4th, 1994. ## It lasted 2 days.	The conference was over on July 8th, 1994.	yes
9	260	Yesterday APCOM signed the contract. ## Today is Saturday, July 14th.	APCOM signed the contract Friday, 13th.	yes
10	261	Smith left before Jones left. ## Jones left before Anderson left.	Smith left before Anderson left.	yes
11	262	Smith left after Jones left. ## Jones left after Anderson left.	Smith left after Anderson left.	yes
12	263	Smith was present after Jones left. ## Jones left after Anderson was present.	Smith was present after Anderson was present.	unknown
13	264	Smith left. ## Jones left. ## Smith left before Jones left.	Jones left after Smith left.	yes
14	265	Smith left. ## Jones left. ## Smith left after Jones left.	Jones left before Smith left.	yes
15	266	Smith left. ## Jones left. ## Jones left before Smith left.	Smith left after Jones left.	yes
16	267	Jones revised the contract. ## Smith revised the contract. ## Jones revised the contract before Smith did.	Smith revised the contract after Jones did.	yes
17	268	Jones revised the contract. ## Smith revised the contract. ## Jones revised the contract after Smith did.	Smith revised the contract before Jones did.	yes
18	269	Smith swam. ## Jones swam. ## Smith swam before Jones swam.	Jones swam after Smith swam.	unknown
19	270	Smith swam to the shore. ## Jones swam to the shore. ## Smith swam to the shore before Jones swam to the shore.	Jones swam to the shore after Smith swam to the shore.	yes
