	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	e_pred	c_pred
0	The young boys are playing outdoors and the man is smiling nearby	all x.all y. (YoungBoy(x) & Outdoors(y) -> Plays(x, y)) & (Man(z) & Smiling(z))			There is no boy playing outdoors and there is no man smiling	not exists x. (Boy(x) & PlayingOutdoors(x)) & not exists y. (Man(y) & Smiling(y))	c		
1	A person in a black jacket is doing tricks on a motorbike	all x. (Person(x) & WearsBlackJacket(x) -> TricksOnMotorbike(x))			A skilled person is riding a bicycle on one wheel	all x. all y. (SkilledPerson(x) & Bicycle(y) & RidingOnOneWheel(x, y) -> SkilledBicycleRider(x))	n		
2	Four children are doing backbends in the gym	exists x. exists y. exists z. exists w. (Child(x) & Child(y) & Child(z) & Child(w) & DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & InGym(x) & InGym(y) & InGym(z) & InGym(w))			Four girls are doing backbends and playing outdoors	all x.all y.all z.all w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) -> (DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingOutdoors(x) & PlayingOutdoors(y) & PlayingOutdoors(z) & PlayingOutdoors(w	n		
3	A player is throwing the ball	exists x. (Player(x) & ThrowingBall(x))			Two teams are competing in a football match	exists x. exists y. (Team(x) & Team(y) & FootballMatch(x, y))	n		
4	Five children are standing in front of a wooden hut	exists x. exists y. (Child(x) & Child(y) & WoodenHut(z) & StandingInFrontOf(x, z) & StandingInFrontOf(y, z))			Five children are standing in a wooden hut	exists x. exists y. exists z. exists w. exists v. (Child(x) & Child(y) & Child(z) & Child(w) & Child(v) & WoodenHut(h) & StandingIn(x, h) & StandingIn(y, h) & StandingIn(z, h) & StandingIn(w, h) & StandingIn(v, h))	n		
5	Few people are eating at red tables in a restaurant without lights	exists x. (Person(x) & EatingAtRedTables(x) & not exists y. (Restaurant(y) & Lights(y) & LocatedIn(y, x)))			A large group of Asian people is eating at a restaurant	exists x. exists y. (AsianPerson(x) & Group(x) & Restaurant(y) & EatingAt(x, y))	n		
6	Someone is on a black and white motorcycle and is standing on the seat	exists x. (Motorcycle(x) & BlackAndWhite(x) & StandingOnSeat(x))			A motorcycle is riding standing up on the seat of the vehicle	all x. (Motorcycle(x) -> RidingStandingUpOnSeat(x))	n		
7	Two dogs are playing by a tree	exists x.exists y.exists z. (Dog(x) & Dog(y) & Tree(z) & PlayingBy(x, y, z))			Two dogs are playing by a plant	exists x. exists y. exists z. (Dog(x) & Dog(y) & Plant(z) & PlayingBy(x, y, z))	e		
8	A girl in white is dancing	all x. (Girl(x) & WearingWhite(x) -> Dancing(x))			A girl is wearing white clothes and is dancing	exists x. (Girl(x) & WearingWhiteClothes(x) & Dancing(x))	e		
9	There is no girl in white dancing	not exists x. (Girl(x) & White(x) & Dancing(x))			A girl in white is dancing	all x. (Girl(x) & WearingWhite(x) -> Dancing(x))	c		
