	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	Mary used her workstation.	UsedWorkstation(mary)	Mary's workstation was used.	exists x. (Workstation(x) & UsedBy(x, Mary))	e	False	False
1	Mary used her workstation.	UsedWorkstation(mary)	Mary has a workstation.	exists x. (Workstation(x) & OwnedBy(x, Mary))	e	False	False
2	Mary used her workstation.	UsedWorkstation(mary)	Mary is female.	Female(mary)	e	False	False
3	Every student used her workstation. ## Mary is a student.	exists x. (Student(x) & UsedWorkstation(x)) ## Student(mary)	Mary used her workstation.	UsedWorkstation(mary)	e	False	False
4	Every student used her workstation. ## Mary is a student.	exists x. (Student(x) & UsedWorkstation(x)) ## Student(mary)	Mary has a workstation.	exists x. (Workstation(x) & OwnedBy(x, Mary))	e	False	False
5	No student used her workstation. ## Mary is a student.	not exists x. (Student(x) & Workstation(x)) ## Student(mary)	Mary used a workstation.	exists x. (Workstation(x) & UsedBy(x, Mary))	c	False	False
6	Smith attended a meeting. ## She chaired it.	AttendedMeeting(smith) ## Chaired(she, it)	Smith chaired a meeting.	ChairedMeeting(smith)	e	False	False
7	Smith delivered a report to ITEL. ## She also delivered them an invoice. ## And she delivered them a project proposal.	DeliveredReport(smith, itel) ## exists x.exists y. (Woman(x) & Delivered(x, y) & Invoice(y) & DeliveredInvoice(x, y)) ## exists x.exists y. (Woman(x) & Project(y) & DeliveredProposal(x, y) & ProjectManager(x, y))	Smith delivered a report, an invoice and a project proposal to ITEL.	exists x.exists y.exists z. (Smith(x) & Report(y) & Invoice(z) & ProjectProposal(y) & DeliveredTo(x, y, z, ITEL))	e	False	False
8	Smith took a machine on Tuesday, and Jones took a machine on Wednesday. ## They put them in the lobby.	exists x.exists y. (Smith(x) & Machine(y) & TookOnTuesday(x, y)) & (Jones(x) & Machine(y) & TookOnWednesday(x, y)) ## exists x.exists y. (They(x) & PutIn(x, y) & InLobby(y))	Smith and Jones put two machines in the lobby.	exists x.exists y. (Smith(x) & Jones(y) & (PutMachine(x, lobby) & PutMachine(y, lobby)))	e	False	False
9	Each department has a dedicated line. ## The sales department rents it from BT.	exists x. (Department(x) & HasDedicatedLine(x)) ## RentsFrom(SalesDepartment, BT)	The sales department rents a line from BT.	RentLine(salesDepartment, BT)	e	False	False
10	GFI owns several computers. ## ITEL maintains them.	exists x. (GFI(x) & OwnsComputers(x)) ## exists x. (ITEL(x) & Maintains(x))	ITEL maintains all the computers that GFI owns.	exists x.exists y. (ITEL(x) & GFI(y) & MaintainsComputers(x, y))	e	False	False
11	Every customer who owns a computer has a service contract for it. ## MFI is a customer that owns exactly one computer.	exists x. (Customer(x) & OwnsComputer(x) & HasServiceContract(x)) ## exists x. (MFI(x) & OwnsExactlyOneComputer(x))	MFI has a service contract for all its computers.	exists x. (MFI(x) & Computer(x) & HasServiceContract(x))	e	False	False
12	Every customer who owns a computer has a service contract for it. ## MFI is a customer that owns several computers.	exists x. (Customer(x) & OwnsComputer(x) & HasServiceContract(x)) ## exists x. (MFI(x) & OwnsSeveralComputers(x))	MFI has a service contract for all its computers.	exists x. (MFI(x) & Computer(x) & HasServiceContract(x))	e	False	False
13	Every executive who had a laptop computer brought it to take notes at the meeting. ## Smith is a executive who owns five different laptop computers.	exists x. (Executive(x) & HadLaptopComputer(x) & BroughtToTakeNotesAtMeeting(x)) ## Executive(smith) & OwnsLaptopComputers(smith, 5)	Smith took five laptop computers to the meeting.	exists x. (Smith(x) & Took(x, y) & LaptopComputer(y) & NumberOf(y, 5) & AtMeeting(y))	n	False	False
14	A company director awarded himself a large payrise.	exists x. (CompanyDirector(x) & AwardedLargePayrise(x) & DirectorAwardsSelf(x))	A company director has awarded and been awarded a payrise.	exists x. (CompanyDirector(x) & (AwardedPayrise(x) & not AwardedPayrise(x)))	e	False	True
15	John said Bill had hurt himself.	Said(john, Bill, hurt)	John said Bill had been hurt.	Said(john, bill, hurt)	e	False	False
