	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	John spoke to Mary. ## So did Bill.	exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y)) ## DidBill(bill)	Bill spoke to Mary.	exists x. exists y. (Bill(x) & Mary(y) & SpokeTo(x, y))	e	False	False
1	John spoke to Mary. ## So did Bill. ## John spoke to Mary at four o'clock.	exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y)) ## DidBill(bill) ## SpokeTo(john, mary, fourOclock)	Bill spoke to Mary at four o'clock.	exists x. exists y. exists z. (Bill(x) & Mary(y) & FourOclock(z) & SpokenAt(x, y, z))	n	False	False
2	John spoke to Mary at four o'clock. ## So did Bill.	SpokeTo(john, mary, fourOclock) ## DidBill(bill)	Bill spoke to Mary at four o'clock.	exists x. exists y. exists z. (Bill(x) & Mary(y) & FourOclock(z) & SpokenAt(x, y, z))	e	False	False
3	John spoke to Mary at four o'clock. ## And Bill did at five o'clock.	SpokeTo(john, mary, fourOclock) ## exists x. (Bill(x) & Time(x, 5) & DidAt(x, 5))	Bill spoke to Mary at five o'clock.	exists x. exists y. exists z. (Bill(x) & Mary(y) & FiveOclock(z) & SpokeAt(x, y, z))	e	False	False
4	John has spoken to Mary. ## Bill is going to.	HasSpoken(john, mary) ## GoingTo(bill)	Bill will speak to Mary.	SpeakTo(bill, mary)	e	False	False
5	John spoke to Mary on Monday. ## Bill didn't.	SpokeTo(john, mary, monday) ## not Bill(x)	Bill spoke to Mary on Monday.	SpokeTo(bill, mary, monday)	c	False	False
6	Has John spoken to Mary? ## Bill has.	exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y)) ## Has(bill)	Bill has spoken to Mary.	exists x. exists y. (Bill(x) & Mary(y) & SpokenTo(x, y))	e	False	False
7	John has spoken to Mary. ## The students have too.	HasSpoken(john, mary) ## exists x. (Student(x) & Too(x))	The students have spoken to Mary.	exists x.exists y. (Student(x) & Mary(y) & SpokenTo(x, y))	e	False	False
8	John is going to Paris by car, and the students by train.	exists x. exists y. (John(x) & Paris(y) & GoesByCar(x, y)) & (Students(x) & Train(y) & GoesByTrain(x, y))	The students are going to Paris by train.	exists x. (Student(x) & GoingToParisByTrain(x))	e	False	False
9	John owns a car. ## Bill owns one too.	OwnsCar(john) ## exists x. (Person(x) & Owns(x, 1))	Bill owns a car.	OwnsCar(bill)	e	False	False
10	John owns a car. ## Bill owns one too.	OwnsCar(john) ## exists x. (Person(x) & Owns(x, 1))	There is a car that John and Bill own.	exists x. (Car(x) & OwnedBy(x, John) & OwnedBy(x, Bill))	n	False	False
11	John owns a red car. ## Bill owns a blue one.	Owns(john, redCar) ## exists x. (Person(x) & Owns(x, BlueOne))	Bill owns a blue car.	Owns(Bill, BlueCar)	e	False	False
12	John owns a red car. ## Bill owns a blue one.	Owns(john, redCar) ## exists x. (Person(x) & Owns(x, BlueOne))	Bill owns a red car.	Owns(Bill, RedCar)	n	False	False
13	John owns a red car. ## Bill owns a fast one.	Owns(john, redCar) ## exists x. (FastOne(x) & Owns(Bill, x))	Bill owns a fast car.	exists x. (Car(x) & Fast(x) & Owns(bill, x))	e	False	False
14	John owns a red car. ## Bill owns a fast one.	Owns(john, redCar) ## exists x. (FastOne(x) & Owns(Bill, x))	Bill owns a fast red car.	exists x. (Car(x) & Owns(bill, x) & Fast(x) & Red(x))	e	False	False
15	John owns a red car. ## Bill owns a fast one.	Owns(john, redCar) ## exists x. (FastOne(x) & Owns(Bill, x))	Bill owns a fast red car.	exists x. (Car(x) & Owns(bill, x) & Fast(x) & Red(x))	n	False	False
16	John owns a fast red car. ## Bill owns a slow one.	Owns(john, fastRedCar) ## exists x. (Person(x) & SlowOne(x))	Bill owns a slow red car.	exists x. (Car(x) & Owns(bill, x) & Slow(x) & Red(x))	e	False	False
17	John had his paper accepted. ## Bill doesn't know why.	HadPaperAccepted(john) ## not (exists x. (Person(x) & Knows(x, y) & Why(y)))	Bill knows why John had his paper accepted.	KnowsWhy(Bill, John, PaperAccepted)	c	False	False
18	John spoke to Mary. ## And to Sue.	"exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y)) ## exists x. (Person(x) & Name(x, ""Sue"") & Person(x))"	John spoke to Sue.	SpokeTo(john, sue)	e	False	False
19	John spoke to Mary. ## On Friday.	exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y)) ## Friday(x)	John spoke to Mary on Friday.	SpokeTo(john, mary, friday)	e	False	False
20	John spoke to Mary on Thursday. ## And on Friday.	SpokeTo(john, mary, thursday) ## exists x. (Friday(x) & OnFriday(x))	John spoke to Mary on Friday.	SpokeTo(john, mary, friday)	e	False	False
21	Twenty men work in the Sales Department. ## But only one woman.	exists x. (Man(x) & WorksInSalesDepartment(x)) ## exists x. (Woman(x) & not exists y. (Woman(y) & not Woman(z) & Man(z) & DifferentFrom(y, z)))	Two women work in the Sales Department.	exists x. exists y. (Woman(x) & Woman(y) & WorkInSalesDepartment(x) & WorkInSalesDepartment(y))	c	False	False
22	Five men work part time. ## And forty five women.	exists x. exists y. exists z. exists w. exists v. (Man(x) & Man(y) & Man(z) & Man(w) & Man(v) & WorkPartTime(x) & WorkPartTime(y) & WorkPartTime(z) & WorkPartTime(w) & WorkPartTime(v)) ## exists x. (Woman(x) & Age(x, 45))	Forty five women work part time.	exists x. (WorkPartTime(x) & Woman(x) & Age(x, 45))	e	False	False
23	John found Mary before Bill.	Found(John, Mary) & Found(Bill, Mary) & not Found(John, Bill) & not Found(Bill, John)	John found Mary before Bill found Mary.	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Found(x, z) & Found(y, z) & FoundBefore(x, y))	e	False	False
24	John found Mary before Bill.	Found(John, Mary) & Found(Bill, Mary) & not Found(John, Bill) & not Found(Bill, John)	John found Mary before John found Bill.	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Found(x, y) & Found(x, z) & FoundBefore(y, z))	e	False	False
25	John wants to know how many men work part time. ## And women.	WantsToKnow(John, NumberOfPartTimeMen) ## exists x. (Woman(x))	John wants to know how many women work part time.	WantsToKnow(John, NumberOfWomenWorkingPartTime)	e	False	False
26	John wants to know how many men work part time, and which.	exists x. (Man(x) & PartTime(x) & WantsToKnow(John, x))	John wants to know which men work part time.	exists x. (Man(x) & PartTime(x) & WantsToKnow(John, x))	e	True	False
27	Bill spoke to everyone that John did. ## John spoke to Mary.	exists x. exists y. (Bill(x) & John(y) & SpokeTo(x, y)) ## exists x. exists y. (Person(x) & Person(y) & SpokenTo(x, y))	Bill spoke to Mary.	exists x. exists y. (Bill(x) & Mary(y) & SpokeTo(x, y))	e	False	False
