	nl_ps	fol_ps	nl_h	fol_h	label	exception
0	A group of children is playing in the house and there is no man standing in the background	all x. all y. (GroupOfChildren(x) & House(y) -> exists z. (Child(z) & PlayingIn(z, y))) & not exists w. (Man(w) & StandingInBackground(w))	A group of kids is playing in a yard and an old man is standing in the background	exists x. exists y. (Kid(x) & Yard(y) & PlayingIn(x, y) & OldMan(z) & StandingInBackground(z, y))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: StandingInBackground/1, StandingInBackground/2.


Fatal error:  The following symbols are used with multiple arities: StandingInBackground/1, StandingInBackground/2"
1	Two children are lying in the snow and are making snow angels	exists x. exists y. (Child(x) & Child(y) & LyingInSnow(x) & LyingInSnow(y) & MakingSnowAngels(x) & MakingSnowAngels(y))	Two people in snowsuits are lying in the snow and making snow angels	all x.all y.all z. (Person(x) & Person(y) & Snowsuit(x) & Snowsuit(y) & Snow(z) -> (LyingIn(x, z) & LyingIn(y, z) & MakingSnowAngels(x, y)))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: MakingSnowAngels/1, MakingSnowAngels/2.


Fatal error:  The following symbols are used with multiple arities: MakingSnowAngels/1, MakingSnowAngels/2"
2	Four children are doing backbends in the gym	exists x. exists y. exists z. exists w. (Child(x) & Child(y) & Child(z) & Child(w) & DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & InGym(x) & InGym(y) & InGym(z) & InGym(w))	Four children are doing backbends in the park	exists x. exists y. exists z. exists w. (Child(x) & Child(y) & Child(z) & Child(w) & Park(p) & DoingBackbend(x, p) & DoingBackbend(y, p) & DoingBackbend(z, p) & DoingBackbend(w, p))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: DoingBackbend/1, DoingBackbend/2.


Fatal error:  The following symbols are used with multiple arities: DoingBackbend/1, DoingBackbend/2"
3	Four girls are doing backbends and playing in the garden	exists x. exists y. exists z. exists w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) & DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingInGarden(x) & PlayingInGarden(y) & PlayingInGarden(z) & PlayingInG	Four girls are doing backbends and playing outdoors	all x.all y.all z.all w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) -> (DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingOutdoors(x) & PlayingOutdoors(y) & PlayingOutdoors(z) & PlayingOutdoors(w	e	"End of input found.  Expected token ')'.
all x.all y.all z.all w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) -> (DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingOutdoors(x) & PlayingOutdoors(y) & PlayingOutdoors(z) & PlayingOutdoors(w
                                                                                                                                                                                                                                ^"
4	Five kids are standing close together and one kid has a gun	exists x.exists y.exists z.exists w.exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z) & HasGun(v))	Five kids are standing close together and none of the kids has a gun	exists x. exists y. exists z. exists w. exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z, w, v) & not HasGun(x) & not HasGun(y) & not HasGun(z) & not HasGun(w) & not HasGun(v	c	"End of input found.  Expected token ')'.
exists x. exists y. exists z. exists w. exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z, w, v) & not HasGun(x) & not HasGun(y) & not HasGun(z) & not HasGun(w) & not HasGun(v
                                                                                                                                                                                                                   ^"
5	Five kids are standing close together and none of the kids has a gun	exists x. exists y. exists z. exists w. exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z, w, v) & not HasGun(x) & not HasGun(y) & not HasGun(z) & not HasGun(w) & not HasGun(v	Five children are standing in front of a wooden hut	exists x. exists y. (Child(x) & Child(y) & WoodenHut(z) & StandingInFrontOf(x, z) & StandingInFrontOf(y, z))	n	"End of input found.  Expected token ')'.
exists x. exists y. exists z. exists w. exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z, w, v) & not HasGun(x) & not HasGun(y) & not HasGun(z) & not HasGun(w) & not HasGun(v
                                                                                                                                                                                                                   ^"
6	Several people are in front of a colorful building	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Building(b) & Colorful(b) & InFrontOf(x, y, z, b))	Nobody is in front of the colorful building	not exists x. (Person(x) & InFrontOf(x, ColorfulBuilding))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: InFrontOf/4, InFrontOf/2.


Fatal error:  The following symbols are used with multiple arities: InFrontOf/4, InFrontOf/2"
7	A man with a helmet painted red is riding a blue motorcycle down the road	all x.all y.all z. (Man(x) & Helmet(y) & Red(y) & Motorcycle(z) & Blue(z) & Riding(x, z) -> PaintedRed(y))	A motorcyclist with a red helmet is riding a blue motorcycle down the road	all x.all y.all z. (Motorcyclist(x) & RedHelmet(x) & Motorcycle(y) & Blue(y) & Road(z) -> Riding(x, y, z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Riding/2, Riding/3.


Fatal error:  The following symbols are used with multiple arities: Riding/2, Riding/3"
8	A group of people is on a beach	exists x. (Group(x) & People(x) & On(x, beach))	A group of people is on a mountain	exists x.exists y. (Group(x) & Mountain(y) & On(x, y))	n	"'beach' is an illegal variable name.  Constants may not be quantified.
all x. all beach. (On(x, beach) -> On(x, beach))
           ^"
9	A man, a woman and two girls are walking on the beach	exists x. exists y. exists z. (Man(x) & Woman(y) & Girl(z) & WalkingOnBeach(x, y, z))	Four people are walking on the beach	exists x. exists y. exists z. exists w. (Person(x) & Person(y) & Person(z) & Person(w) & WalkingOnBeach(x) & WalkingOnBeach(y) & WalkingOnBeach(z) & WalkingOnBeach(w))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WalkingOnBeach/3, WalkingOnBeach/1.


Fatal error:  The following symbols are used with multiple arities: WalkingOnBeach/3, WalkingOnBeach/1"
